Date	Price	Open	High	Low
"Aug 14, 2015"	"1,114.11"	"1,114.76"	"1,121.40"	"1,111.40"
"Aug 13, 2015"	"1,115.05"	"1,125.06"	"1,126.71"	"1,113.02"
"Aug 12, 2015"	"1,125.30"	"1,108.51"	"1,125.80"	"1,101.35"
"Aug 11, 2015"	"1,109.01"	"1,104.01"	"1,119.40"	"1,093.25"
"Aug 10, 2015"	"1,104.51"	"1,094.00"	"1,109.20"	"1,089.40"
"Aug 07, 2015"	"1,094.20"	"1,089.00"	"1,099.90"	"1,082.76"
"Aug 06, 2015"	"1,089.41"	"1,084.50"	"1,094.30"	"1,083.20"
"Aug 05, 2015"	"1,085.05"	"1,087.19"	"1,092.16"	"1,082.45"
"Aug 04, 2015"	"1,087.45"	"1,085.73"	"1,095.05"	"1,080.60"
"Aug 03, 2015"	"1,086.50"	"1,094.86"	"1,098.15"	"1,085.17"
"Jul 31, 2015"	"1,095.65"	"1,088.41"	"1,103.38"	"1,079.50"
"Jul 30, 2015"	"1,088.99"	"1,096.26"	"1,099.82"	"1,081.85"
"Jul 29, 2015"	"1,096.69"	"1,095.10"	"1,101.85"	"1,089.83"
"Jul 28, 2015"	"1,095.35"	"1,093.91"	"1,099.00"	"1,091.00"
"Jul 27, 2015"	"1,094.42"	"1,099.15"	"1,105.30"	"1,088.79"
"Jul 24, 2015"	"1,099.10"	"1,090.10"	"1,102.35"	"1,077.00"
"Jul 23, 2015"	"1,090.80"	"1,094.10"	"1,106.00"	"1,086.61"
"Jul 22, 2015"	"1,093.45"	"1,100.56"	"1,103.56"	"1,086.89"
"Jul 21, 2015"	"1,101.41"	"1,098.15"	"1,109.87"	"1,096.65"
"Jul 20, 2015"	"1,096.95"	"1,132.95"	"1,133.35"	"1,088.05"
"Jul 17, 2015"	"1,134.10"	"1,145.11"	"1,146.10"	"1,130.70"
"Jul 16, 2015"	"1,145.15"	"1,148.36"	"1,149.90"	"1,142.10"
"Jul 15, 2015"	"1,149.65"	"1,155.50"	"1,156.96"	"1,143.43"
"Jul 14, 2015"	"1,155.53"	"1,157.56"	"1,159.96"	"1,152.54"
